Program Time [s],data 0,data 1
160.904,1,1
160.904,1,1
160.908,1,2
160.908,3,4
160.912,3,2
160.912,1,0
160.912,0,0
160.916,1,2
160.916,2,2
160.92,1,1
160.92,1,1
160.924,1,1
160.924,2,2
160.924,1,1
160.928,1,1
160.928,2,3
160.933,4,2
160.933,1,1
160.937,0,0
160.937,1,1
160.937,1,1
160.941,1,2
160.941,2,2
160.945,2,2
160.945,1,1
160.945,1,0
160.949,0,1
160.949,3,6
160.953,6,2
160.953,1,0
160.957,0,0
160.957,1,1
160.957,0,0
160.961,0,1
160.961,0,0
160.965,1,1
160.965,2,2
160.969,1,2
160.969,2,2
160.969,2,2
160.973,3,2
160.974,1,2
160.978,1,0
160.978,0,0
160.982,1,2
160.982,2,2
160.982,2,2
160.986,2,1
160.986,1,1
160.99,1,1
160.99,2,2
160.994,2,2
160.994,1,1
160.994,1,2
160.998,3,2
160.998,2,2
161.002,1,1
161.002,1,1
161.006,1,1
161.006,1,1
161.006,1,2
161.01,2,2
161.01,2,3
161.014,2,2
161.015,1,0
161.019,0,0
161.019,1,3
161.019,4,2
161.023,0,0
161.023,0,0
161.027,1,2
161.027,3,3
161.027,3,1
161.031,1,1
161.031,1,1
161.035,1,0
161.035,1,1
161.039,2,2
161.039,1,0
161.039,0,1
161.043,1,2
161.043,2,2
161.047,2,1
161.047,1,1
161.051,2,2
161.051,2,2
161.051,2,2
161.055,2,2
161.055,1,1
161.06,1,1
161.06,0,1
161.064,1,1
161.064,1,1
161.064,2,2
161.068,2,2
161.068,2,2
161.072,2,2
161.072,1,1
161.076,1,1
161.076,1,0
161.076,1,1
161.08,1,1
161.08,1,2
161.084,2,2
161.084,2,2
161.088,3,1
161.088,1,0
161.088,1,2
161.092,2,2
161.092,2,1
161.096,1,1
161.096,1,3
161.1,3,2
161.1,2,1
161.1,0,0
161.105,1,0
161.105,0,1
161.109,2,3
161.109,4,3
161.113,2,0
161.113,0,0
161.113,1,1
161.117,1,1
161.117,1,1
161.121,1,1
161.121,1,2
161.121,2,2
161.125,2,2
161.125,2,3
161.129,2,1
161.129,1,1
161.133,1,1
161.133,1,1
161.133,0,0
161.137,1,1
161.137,1,2
161.141,2,2
161.141,2,1
161.146,1,1
161.146,1,1
161.146,1,2
161.15,3,3
161.15,3,1
161.154,1,0
161.154,1,1
161.158,1,2
161.158,1,1
161.158,1,2
161.162,2,2
161.162,2,2
161.166,1,1
161.166,2,2
161.17,2,2
161.17,2,2
161.17,1,1
161.174,1,1
161.174,1,3
161.178,3,3
161.178,2,0
161.182,0,0
161.182,0,1
161.182,1,2
161.186,2,2
161.186,3,2
161.191,2,2
161.191,2,2
161.195,1,0
161.195,0,1
161.195,1,2
161.199,3,1
161.199,1,1
161.203,1,2
161.203,2,2
161.207,1,2
161.207,2,2
161.207,2,2
161.211,2,1
161.211,1,0
161.215,1,1
161.215,2,2
161.219,2,2
161.219,2,2
161.219,1,1
161.223,1,1
161.223,1,1
161.227,1,1
161.227,1,2
161.232,2,2
161.232,2,2
161.232,2,3
161.236,2,2
161.236,1,1
161.24,0,0
161.24,1,1
161.24,1,1
161.244,0,1
161.244,0,0
161.248,0,1
161.248,1,2
161.252,3,5
161.252,6,3
161.252,1,0
161.256,0,0
161.256,1,2
161.26,2,1
161.26,0,0
161.264,0,1
161.264,1,1
161.264,1,1
161.268,2,2
161.268,2,1
161.273,1,1
161.273,1,2
161.277,3,4
161.277,3,2
161.277,1,0
161.281,0,0
161.281,0,1
161.285,2,2
161.285,2,2
161.289,2,1
161.289,1,1
161.289,1,2
161.293,2,2
161.293,2,2
161.297,2,2
161.297,2,2
161.301,1,1
161.301,1,1
161.301,1,1
161.305,0,1
161.305,2,2
161.309,2,2
161.309,2,1
161.313,1,1
161.314,1,1
161.314,1,1
161.318,0,1
161.318,1,1
161.322,1,2
161.322,3,3
161.322,2,1
161.326,0,0
161.326,0,1
161.33,1,2
161.33,2,3
161.334,3,2
161.334,2,2
161.334,1,1
161.338,1,1
161.338,0,0
161.342,0,0
161.342,0,1
161.346,2,3
161.346,3,3
161.346,2,2
161.35,2,3
161.35,2,1
161.354,1,0
161.354,0,1
161.359,2,2
161.359,2,1
161.359,0,0
161.363,1,1
161.363,1,1
161.367,2,2
161.367,2,2
161.371,2,2
161.371,3,2
161.371,1,1
161.375,1,1
161.375,0,0
161.379,1,1
161.379,1,2
161.383,3,3
161.383,1,0
161.383,1,0
161.387,1,1
161.387,2,3
161.391,3,2
161.391,2,2
161.395,1,0
161.395,0,0
161.395,2,1
161.399,1,1
161.399,1,1
161.404,1,0
161.404,0,1
161.408,3,5
161.408,6,4
161.408,0,0
161.412,0,0
161.412,0,0
161.416,1,1
161.416,2,2
161.416,2,1
161.42,1,0
161.42,0,1
161.424,2,1
161.424,1,0
161.428,0,1
161.428,2,2
161.428,3,3
161.432,3,3
161.432,3,1
161.436,1,1
161.436,1,1
161.44,0,1
161.44,1,1
161.44,1,2
161.445,2,2
161.445,2,2
161.449,2,2
161.449,1,2
161.453,2,3
161.453,2,2
161.453,1,1
161.457,0,0
161.457,0,1
161.461,1,1
161.461,1,2
161.465,3,2
161.465,2,1
161.465,1,1
161.469,2,2
161.469,2,2
161.473,2,2
161.473,2,1
161.477,1,1
161.477,1,1
161.477,1,1
161.481,1,2
161.482,2,2
161.486,2,2
161.486,2,2
161.49,2,2
161.49,1,1
161.49,0,1
161.494,1,1
161.494,0,0
161.498,1,2
161.498,3,7
161.502,6,2
161.502,0,-1
161.502,0,0
161.506,0,1
161.506,2,2
161.51,2,1
161.51,1,1
161.514,0,1
161.514,1,1
161.514,2,2
161.518,1,1
161.518,1,1
161.522,1,1
161.522,1,1
161.522,2,2
161.526,2,2
161.526,2,2
161.531,3,1
161.531,1,1
161.535,1,1
161.535,1,1
161.535,1,1
161.539,1,1
161.539,0,0
161.543,1,0
161.543,0,0
161.547,2,2
161.547,3,4
161.547,4,3
161.551,2,1
161.551,0,0
161.555,0,0
161.555,1,2
161.559,3,3
161.559,1,0
161.559,0,1
161.563,2,3
161.563,4,2
161.567,0,0
161.567,1,1
161.571,2,2
161.572,1,0
161.572,0,1
161.576,3,5
161.576,6,4
161.58,3,1
161.58,0,0
161.584,0,0
161.584,1,2
161.584,2,2
161.588,2,3
161.588,2,2
161.592,0,0
161.592,1,2
161.596,1,1
161.596,0,0
161.596,1,0
161.6,0,0
161.6,0,4
161.604,9,12
161.604,11,5
161.608,-2,-9
161.608,-9,-3
161.608,1,6
161.612,7,4
161.612,-1,-7
161.617,-6,0
161.617,7,14
161.621,15,13
161.621,7,1
161.621,-1,0
161.625,0,-1
161.625,-5,-12
161.629,-12,-5
161.629,0,6
161.633,5,0
161.633,2,13
161.633,22,29
161.637,20,2
161.637,-16,-30
161.641,-28,-18
161.641,-4,10
161.645,13,13
161.645,11,8
161.649,10,17
161.649,20,12
161.649,0,-9
161.653,-14,-17
161.653,-21,-18
161.658,-7,2
161.658,9,12
161.662,15,17
161.662,11,-3
161.666,-10,-10
161.666,-6,-1
161.666,0,8
161.67,17,23
161.67,24,20
161.674,11,-1
161.674,-12,-17
161.678,-14,-8
161.678,-3,-1
161.682,0,4
161.682,7,4
161.682,-2,-6
161.686,-7,-3
161.686,1,7
161.69,11,8
161.69,3,0
161.694,1,4
161.694,4,7
161.694,11,9
161.698,6,1
161.698,-1,-3
161.703,-2,-2
161.703,-3,-2
161.707,-1,0
